epsilon,time
0.9899690942329051,0.002433763992881111
0.9899381894316004,0.0024557269118140454
0.9899072855960556,0.0026223877150756943
0.9898763827262406,0.0027055150098095884
0.9898454808221251,0.0027562598569881224
0.989814579883679,0.0028642164799969174
0.9897836799108722,0.003086282561888096
0.9897527809036747,0.0033375858369229425
0.9897218828620558,0.0034916593271562095
0.9896909857859857,0.003645168205913921
0.9896600896754342,0.0039758057969629034
0.9896291945303709,0.004097074224649238
0.9895983003507659,0.004114991159202945
0.989567407136589,0.004119037143582171
0.9895365148878098,0.004693045678963247
0.9895056236043984,0.004975929064469041
0.9894747332863245,0.005395759827706459
0.989443843933558,0.005404376600951579
0.9894129555460686,0.005487813738073024
0.9893820681238263,0.005622160577152646
0.9893511816668008,0.006603819393111901
0.989320296174962,0.006832649674584326
0.9892894116482799,0.007202316683322871
0.989258528086724,0.00721150145568163
0.9892276454902643,0.007310273306331666
0.9891967638588708,0.0075499245608911855
0.9891658831925131,0.00839001279211974
0.9891350034911612,0.008436565208514503
0.9891041247547848,0.008822124952044905
0.989073246983354,0.008846367443510183
0.9890423701768384,0.008959630018039393
0.9890114943352079,0.009022628162402211
0.9889806194584323,0.00935527348972203
0.9889497455464816,0.009539049844129876
0.9889188725993256,0.0098141478233953
0.9888880006169342,0.009912162348603412
0.9888571295992771,0.009938047217951333
0.9888262595463241,0.010002771545589885
0.9887953904580453,0.010466666392402285
0.9887645223344105,0.010554658682567743
0.9887336551753895,0.01071796966743713
0.988702788980952,0.010753214302841726
0.988671923751068,0.011254361089969118
0.9886410594857075,0.0112827630665841
0.9886101961848401,0.011360765745554087
0.9885793338484359,0.011382728664487021
0.9885484724764646,0.011477458055163429
0.9885176120688961,0.011499420974096362
0.9884867526257002,0.01204050540731574
0.9884558941468469,0.012073429509477436
0.988425036632306,0.012096834840762514
0.9883941800820474,0.012356312894983231
0.9883633244960408,0.012377837034262103
0.9883324698742564,0.012776143658220648
0.9883016162166637,0.012819104907873812
0.9882707635232327,0.01287415818342876
0.9882399117939333,0.012882622034849252
0.9882090610287355,0.012991488506295367
0.9881782112276091,0.013654392026522093
0.9881473623905238,0.013807114303024646
0.9881165145174496,0.01386417976088908
0.9880856676083565,0.01395322268111111
0.988054821663214,0.013985029617571074
0.9880239766819924,0.014130789260369973
0.9879931326646614,0.014175306552228206
0.9879622896111908,0.014213033505098515
0.9879314475215506,0.014582700513837062
0.9879006063957106,0.01459188528619582
0.9878697662336409,0.014690657136845857
0.9878389270353111,0.015114579645658132
0.9878080888006912,0.015310863653950487
0.9877772515297509,0.015326100356658911
0.9877464152224604,0.015428405190095806
0.9877155798787896,0.015532611795199039
0.987684745498708,0.015552949986616901
0.9876539120821858,0.01561737674281005
0.9876230796291928,0.015631384397760816
0.9875922481396989,0.015639339661742982
0.9875614176136741,0.0157146004405939
0.9875305880510881,0.01577039662263393
0.9874997594519108,0.016068896121176058
0.9874689318161123,0.016152006648116838
0.9874381051436623,0.01620250878255909
0.9874072794345308,0.01622675127402437
0.9873764546886875,0.016320445761126404
0.9873456309061027,0.01635381692301472
0.9873148080867459,0.016390603139738558
0.9872839862305872,0.01661304321372007
0.9872531653375964,0.01661811240953358
0.9872223454077437,0.016674657391192005
0.9871915264409984,0.016873252162065932
0.987160708437331,0.016954628611245835
0.9871298913967111,0.017194531653909488
0.9870990753191087,0.0172925461791176
0.9870682602044937,0.017318431048465522
0.9870374460528359,0.017328678861184
0.9870066328641053,0.017493235952014283
0.9869758206382718,0.017559148381499353
0.9869450093753054,0.017575546586105596
0.9869141990751759,0.017605414193542265
0.9868833897378532,0.017772535506554058
0.9868525813633072,0.01786648118599648
0.9868217739515078,0.017930819707490532
0.9867909675024252,0.017962003336871896
0.986760162016029,0.018087895924289405
0.9867293574922892,0.018098353497951317
0.9866985539311757,0.018133598133355917
0.9866677513326584,0.018146473033369317
0.9866369496967075,0.018253171129359397
0.9866061490232924,0.01831023658722383
0.9865753493123834,0.018429138851282018
0.9865445505639503,0.01865139034637386
0.9865137527779632,0.018763112495001212
0.9864829559543916,0.0188693349778322
0.986452160093206,0.018879804804610552
0.9864213651943757,0.018968853838647562
0.9863905712578712,0.01910350476272727
0.9863597782836622,0.01911461348144646
0.9863289862717185,0.019364497310330197
0.9862981952220101,0.01940680630243309
0.9862674051345071,0.019453813339991625
0.9862366160091792,0.019477218671276705
0.9862058278459965,0.01966178153997178
0.9861750406449289,0.019739242277424945
0.9861442544059462,0.019803207170128647
0.9861134691290184,0.019817798209642107
0.9860826848141155,0.019909611825713616
0.9860519014612076,0.020156527488734838
0.9860211190702642,0.020160657266928648
